Id,Title,ISBN,ISBN13,Edition,Publisher,Pages,Setting/bg,Setting/yr,Language,Awards,Published,First Published,Cover,Auther,Genres,Sub-Genres,Series,Series #
198392012,To Kill a Mockingbird,61120081,9.78006E+12,,Harper Perennial Modern Classicss,324,Alabama (US),1935,English,2,2006,1960,Paperback,Harper Lee,Classics; Historical Fiction; Literature; Young Adult; Academic,School,,
198392012,To Kill a Mockingbird,446310786,9.78045E+12,,Warner Books,281,Alabama (US),1935,English,2,1982,1960,Mass Market Paperback,Harper Lee,Classics; Historical Fiction; Literature; Young Adult; Academic,School,,
148203120,The Great Gatsby,743273567,9.78074E+12,,Scribner,180,New York (US),1922,English,,2004,1925,Paperback,F. Scott Fitzgerald,Classics; Literature; Historical Fiction; Romance; Academic,School,,
398201883,The Hunger Games,439023483,9.78044E+12,1st,Scholastic Press,374,Panem (US),Post-apocalyptic,English,4,2008,2008,Hardcover,Suzanne Collins,Young Adult; Fantasy; Sci-fi; Romance; Adventure,Dystopia,The Hunger Games,1
128397624,1984,451524934,9.78045E+12,,Signet Classicss,326,London (UK),1984,English,3,1950,1949,Paperback,George Orwell,Classics; Sci-fi; Literature; Politics; Academic,Dystopia; School,,
204328712,Harry Potter and the Sorcerer's Stone,439554934,9.78044E+12,Original,Scholastic Press,310,Hogwarts School of Witchcraft and Wizardry (UK),1991,English,7,2003,1997,Hardcover,J. K. Rowling,Young Adult; Children; Fantasy; Sci-fi; Adventure,Magic,Harry Potter,1
134923476,Animal Farm,452284244,9.78045E+12,,Plume,152,,,English,2,2003,1945,Paperback,George Orwell,Classics; Literature; Fantasy; Politics; Academic,Dystopia; School,,
398201884,Catching Fire,439023491,9.78044E+12,1st,Scholastic Press,391,Panem (US),Post-apocalyptic,English,,2009,2009,Hardcover,Suzanne Collins,Young Adult; Fantasy; Sci-fi; Romance; Adventure,Dystopia,The Hunger Games,2
483928124,The Kite Runner,1594480001,9.78159E+12,,Penguin Berkley Publishing Group Riverhead Books,371,Kabul (Afghanistan); California (US),,English,,2004,2002,Paperback,Khaled Hosseini,Historical Fiction; Contemporary; Literature; Adult; Drama,,,
472839102,Life of Pi,770430074,9.78077E+12,,Seal Books,356,Pacific Ocean; Pondicherry (India) ; Ontario (CAN),,English,4,2006,2001,Paperback,Yann Martel,Fantasy; Adventure; Literature; Philosophy,,,
200059137,The Hobbit,618260307,9.78062E+12,,Houghton Mifflin,365,Middle-earth,,English,2,2002,1937,Paperback,J.R.R. Tolkien,Classics; Young Adult; Adventure; Childrens,Fantasy,Middle-Earth Universe,
510023654,The Girl with the Dragon Tattoo,307269752,9.78031E+12,1st,Knopf,465,Stockholm (Sweden),,English,5,2008,2005,Hardcover,Stieg Larsson,Suspense; Thriller; Adult; Mystery,Crime,Millennium,1
398201885,Mockingjay,439023513,9.78044E+12,1st,Scholastic Press,392,Panem (US),Post-apocalyptic,English,,2010,2010,Hardcover,Suzanne Collins,Young Adult; Fantasy; Sci-fi; Romance; Adventure,Dystopia,The Hunger Games,3
204328714,Harry Potter and the Prisoner of Azkaban,043965548X,9.78044E+12,,Scholastic Press,435,Hogwarts School of Witchcraft and Wizardry (UK),1993,English,5,2004,1999,Hardcover,J. K. Rowling,Young Adult; Children; Fantasy; Sci-fi; Adventure,Magic,Harry Potter,3
421459000,The Curious Incident of the Dog in the Night-Time,1400032717,9.7814E+12,,Vintage,226,England (UK),,English,4,2004,2003,Paperback,Mark Haddon,Mystery; Young Adult; Contemporary,,,
529309188,Angels & Demons,1416524797,9.78142E+12,,,713,Rome (Italy); Geneva (Switzerland),,English,1,2006,2000,Paperback,Dan Brown,Mystery; Thriller; Suspense; Adventure; Adult,,Robert Langdon,1
632910392,The Time Traveler's Wife,,9.78194E+12,Special,Zola Books,518,Michigan (US); Illinois (US),,English,3,2013,2003,Ebook,Audrey Niffenegger,Romance; Fantasy; Sci-fi; Adult,Time Travel,,
204328716,Harry Potter and the Order of the Phoenix,439358078,9.78044E+12,,Scholastic Press,870,Hogwarts School of Witchcraft and Wizardry (UK),,English,2,2003,2003,Paperback,J. K. Rowling,Young Adult; Children; Fantasy; Sci-fi; Adventure,Magic,Harry Potter,5
632819090,The Lovely Bones,316166685,9.78032E+12,,Little; Brown and Company,328,Pennsylvania (US),,English,5,2006,2002,Mass Market Paperback,Alice Sebold,Mystery; Young Adult; Contemporary; Fantasy,Crime,,
198273613,Of Mice and Men,142000671,9.78014E+12,,Penguin Books,103,California (US),,English,,2002,1937,Paperback,John Steinbeck,Classics; Literature; Historical Fiction; Academic,School,,
183729101,Brave New World,60929871,9.78006E+12,,Harper Perennial,268,England (UK),2540,English,,1998,1932,Paperback,Aldous Huxley,Classics; Literature; Fantasy; Academic; Sci-fi,School,,
492102935,Memoirs of a Geisha,739326228,9.78074E+12,,Random House Large Print,434,Kyoto (Japan),1930,English,,2005,1997,Hardcover,Arthur Golden,Historical Fiction; Romance; Cultural; Adult,Japan,,
200193824,Slaughterhouse-Five,385333846,9.78039E+12,,Dial Press Trade,215,Dresden (Germany),1945,English,2,1999,1969,Paperback,Kurt Vonnegut,Classics; Sci-fi; Literature; War,Time Travel,,
134532780,Fahrenheit 451,7491565,9.78001E+12,Special,Voyager,227,,,English,4,2013,1953,Hardcover,Ray Bradbury,Classics; Sci-fi; Literature; Academic,Dystopia; School,,
431928120,The Alchemist,61122416,9.78006E+12,,HarperCollins,197,(Egypt),,English,1,1993,1988,Paperback,Paulo Coelho,Classics; Fantasy; Philosophy; Literature; Spirituality,,,
419293811,The Book Thief,375831002,9.78038E+12,,Knopf Books,552,Molching (Germany),1939,English,4,2006,2005,Hardcover,Markus Zusak,Historical Fiction; War; World War II;Young Adult,Holocaust,,
153928301,Jane Eyre,142437204,9.78014E+12,,Penguin,507,(UK),,English,,2003,1847,Paperback,Charlotte Brontë,Classics; Romance; Literature; Historical Fiction; Gothic,,,
487283918,The Road,307265439,9.78031E+12,,Knopf,241,(US),,English,5,2006,2006,Hardcover,Cormac McCarthy,Sci-fi; Horror; Apocalyptic,Post Apocalyptic; Dystopia,,
130293842,The Adventures of Huckleberry Finn,142437174,9.78014E+12,,Penguin,327,Missouri (US),1840,English,2,2002,1884,Paperback,Mark Twain,Classics; Literature; Young Adult; Adventure,,Tom Sawyer & Huckleberry Finn,2
239183840,The Handmaid's Tale,038549081X,9.78039E+12,Trade Paperback,Anchor Books,311,Massachusetts (US),,English,2,1998,1985,Paperback,Margaret Atwood,Classics; Feminism; Fantasy; Sci-fi,Dystopia,,
510023655,The Girl Who Played with Fire,307269981,9.78031E+12,,Knopf,503,Stockholm (Sweden),,English,5,2009,2006,Hardcover,Stieg Larsson,Suspense; Thriller; Adult; Mystery,Crime,Millennium,2
200059100,The Fellowship of the Ring,618346252,9.78062E+12,,Houghton Mifflin,365,Middle-earth,,English,2,2003,1954,Paperback,J.R.R. Tolkien,Classics; Fantasy; Adventure; Fantasy,Epic Fantasy,The Lord of the Rings; Middle-Earth Universe,1
629139425,The Fault in Our Stars,525478817,9.78053E+12,1st,Dutton Books,318,Indiana (US) ; Amsterdam (Netherlands),,English,5,2012,2012,Hardcover,John Green,Young Adult; Romance; Contemporary; Realistic Fiction,,,
683929107,Twilight,316015849,9.78032E+12,,Little; Brown and Company,498,Arizona (US),,English,,2006,2006,Paperback,Stephenie Meyer,Young Adult; Romance; Fantasy; Realistic Fiction; Paranormal,Vampires,Twilight,1
619283871,Gone Girl,307588378,9.78031E+12,,Broadway Books,422,Missouri (US),,English,1,2014,2012,Paperback,Gillian Flynn,Mystery; Suspense; Thriller; Adult; Mystery,,,
536281920,A Thousand Splendid Suns,1594489505,9.78159E+12,,Riverhead,372,Kabul (Afghanistan),,English,1,2007,2007,Hardcover,Khaled Hosseini,Historical Fiction; Contemporary; Adult,,,
211920019,Wuthering Heights,393978893,9.78039E+12,,W. W. Norton & Company,464,England (UK),1800,English,,2002,1847,Paperback,Emily Brontë,Classics; Romance; Literature; Gothic; Historical Fiction,,,
584811020,Middlesex,312422156,9.78031E+12,,Picador,529,Michigan (US),,English,2,2003,2002,Paperback,Jeffrey Eugenides,Historical Fiction; Contemporary; Glbt,,,
300928193,Lolita,,,New,Penguin,378,,,English,,2000,1955,Paperback,Vladimir Nabokov,Classics; Romance; Literature; Cultural,Russia,,
439281990,The Poisonwood Bible,60786507,9.78006E+12,,Harper Perennial,546,Georgia (US); (Congo),1959,English,2,2005,1998,Hardcover,Barbara Kingsolver,Historical Fiction; Cultural,Africa,,
182930194,Frankenstein,141439475,9.78014E+12,,Penguin,273,,,English,,2003,1818,Paperback,Mary Shelley,Classics; Sci-fi; Literature; Horror; Fantasy; Gothic,,,
410293817,The Hitchhiker's Guide to the Galaxy,345391802,9.78035E+12,,Del Rey,216,Outer Space,,English,,1995,1979,Paperback,Douglas Adams,Sci-fi; Humor; Fantasy; Classics,Comedy,Hitchhiker's Guide to the Galaxy,1
519287406,Wicked: The Life and Times of the Wicked Witch of the West,60987103,9.78006E+12,,HarperCollins,406,,,English,0,2000,1995,Paperback,Gregory Maguire,Fantasy; Adult,,The Wicked Years,1
150398102,Little Women,451529308,9.78045E+12,,Signet,449,(US); (UK),1862,English,,2004,1868,Paperback,Louisa May Alcott,Classics; Historical Fiction; Romance; Young Adult,,Little Women,1
510023656,The Girl Who Kicked the Hornet's Nest,030726999X,9.78031E+12,,Knopf,563,Stockholm (Sweden),,English,1,2010,2007,Hardcover,Stieg Larsson,Suspense; Thriller; Adult; Mystery,Crime,Millennium,3
152680841,Sense and Sensibility,141439661,9.78014E+12,,Penguin,409,(UK),,English,,2003,1811,Paperback,Jane Austen,Classics; Romance; Literature; Historical Fiction,,,
187273910,A Tale of Two Cities,141439602,9.78014E+12,,Penguin,489,Paris (France),1789,English,,2003,1859,Paperback,Charles Dickens,Classics; Historical Fiction; Academic,School,,
203817902,The Old Man and the Sea,684830493,9.78068E+12,,Scribner,132,(Cuba),,English,2,1996,1952,Hardcover,Ernest Hemingway,Classics; Historical Fiction; Academic,School,,
409287733,The Stranger,679720200,,,intage International,123,(Algeria),,English,,1989,1942,Paperback,Albert Camus,Classics; Philosophy; Cultural,France,,
167382001,Crime and Punishment,143058142,9.78014E+12,,Penguin,545,(Russian Federation),1866,English,,2002,1866,Paperback,Fyodor Dostoyevsky,Classics; Literature; Cultural,Russia,,
402993019,Room,316098337,9.78032E+12,,Little; Brown and Company,321,,,English,2,2010,2010,Hardcover,Emma Donoghue,Adult; Contemporary; Realistic Fiction,,,
200059101,The Two Towers,618346260,9.78062E+12,,Houghton Mifflin,365,Middle-earth,,English,2,2003,1954,Paperback,J.R.R. Tolkien,Classics; Fantasy; Adventure,Epic Fantasy,The Lord of the Rings; Middle-Earth Universe,2
